"filename", "language", "Python", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\irina\Desktop\EventMate\accounts\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\accounts\admin.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\irina\Desktop\EventMate\accounts\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\irina\Desktop\EventMate\accounts\forms.py", "Python", 11, 0, 0, 0, 3, 14
"c:\Users\irina\Desktop\EventMate\accounts\migrations\0001_initial.py", "Python", 38, 0, 0, 1, 7, 46
"c:\Users\irina\Desktop\EventMate\accounts\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\accounts\models.py", "Python", 14, 0, 0, 0, 6, 20
"c:\Users\irina\Desktop\EventMate\accounts\static\css\style.css", "PostCSS", 0, 0, 286, 4, 57, 347
"c:\Users\irina\Desktop\EventMate\accounts\templates\accounts\dashboard.html", "HTML", 0, 152, 0, 0, 29, 181
"c:\Users\irina\Desktop\EventMate\accounts\templates\accounts\edit_profile.html", "HTML", 0, 18, 0, 0, 13, 31
"c:\Users\irina\Desktop\EventMate\accounts\templates\accounts\home.html", "HTML", 0, 17, 0, 0, 8, 25
"c:\Users\irina\Desktop\EventMate\accounts\templates\accounts\login.html", "HTML", 0, 29, 0, 0, 16, 45
"c:\Users\irina\Desktop\EventMate\accounts\templates\accounts\profile.html", "HTML", 0, 23, 0, 0, 11, 34
"c:\Users\irina\Desktop\EventMate\accounts\templates\accounts\register.html", "HTML", 0, 36, 0, 0, 17, 53
"c:\Users\irina\Desktop\EventMate\accounts\templates\accounts\user_profile.html", "HTML", 0, 42, 0, 0, 24, 66
"c:\Users\irina\Desktop\EventMate\accounts\templates\base.html", "HTML", 0, 13, 0, 0, 3, 16
"c:\Users\irina\Desktop\EventMate\accounts\tests.py", "Python", 19, 0, 0, 0, 9, 28
"c:\Users\irina\Desktop\EventMate\accounts\urls.py", "Python", 12, 0, 0, 0, 1, 13
"c:\Users\irina\Desktop\EventMate\accounts\views.py", "Python", 127, 0, 0, 0, 39, 166
"c:\Users\irina\Desktop\EventMate\applications\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\applications\admin.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\irina\Desktop\EventMate\applications\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\irina\Desktop\EventMate\applications\migrations\0001_initial.py", "Python", 57, 0, 0, 1, 7, 65
"c:\Users\irina\Desktop\EventMate\applications\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\applications\models.py", "Python", 29, 0, 0, 0, 9, 38
"c:\Users\irina\Desktop\EventMate\applications\templates\applications\my_applications.html", "HTML", 0, 36, 0, 0, 21, 57
"c:\Users\irina\Desktop\EventMate\applications\tests.py", "Python", 83, 0, 0, 0, 25, 108
"c:\Users\irina\Desktop\EventMate\applications\urls.py", "Python", 8, 0, 0, 0, 1, 9
"c:\Users\irina\Desktop\EventMate\applications\views.py", "Python", 61, 0, 0, 0, 18, 79
"c:\Users\irina\Desktop\EventMate\chat\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\chat\admin.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\irina\Desktop\EventMate\chat\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\irina\Desktop\EventMate\chat\consumers.py", "Python", 59, 0, 0, 0, 21, 80
"c:\Users\irina\Desktop\EventMate\chat\migrations\0001_initial.py", "Python", 42, 0, 0, 1, 7, 50
"c:\Users\irina\Desktop\EventMate\chat\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\chat\models.py", "Python", 17, 0, 0, 0, 7, 24
"c:\Users\irina\Desktop\EventMate\chat\routing.py", "Python", 5, 0, 0, 0, 1, 6
"c:\Users\irina\Desktop\EventMate\chat\templates\chat\event_chat.html", "HTML", 0, 72, 0, 0, 26, 98
"c:\Users\irina\Desktop\EventMate\chat\tests.py", "Python", 30, 0, 0, 0, 8, 38
"c:\Users\irina\Desktop\EventMate\chat\urls.py", "Python", 5, 0, 0, 0, 1, 6
"c:\Users\irina\Desktop\EventMate\chat\views.py", "Python", 23, 0, 0, 0, 6, 29
"c:\Users\irina\Desktop\EventMate\eventmate\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\eventmate\asgi.py", "Python", 14, 0, 0, 8, 5, 27
"c:\Users\irina\Desktop\EventMate\eventmate\settings.py", "Python", 80, 0, 0, 28, 37, 145
"c:\Users\irina\Desktop\EventMate\eventmate\urls.py", "Python", 16, 0, 0, 16, 4, 36
"c:\Users\irina\Desktop\EventMate\eventmate\wsgi.py", "Python", 4, 0, 0, 8, 5, 17
"c:\Users\irina\Desktop\EventMate\events\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\events\admin.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\irina\Desktop\EventMate\events\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\irina\Desktop\EventMate\events\forms.py", "Python", 36, 0, 0, 0, 9, 45
"c:\Users\irina\Desktop\EventMate\events\migrations\0001_initial.py", "Python", 55, 0, 0, 1, 7, 63
"c:\Users\irina\Desktop\EventMate\events\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\events\models.py", "Python", 31, 0, 0, 0, 6, 37
"c:\Users\irina\Desktop\EventMate\events\templates\events\create_event.html", "HTML", 0, 19, 0, 0, 11, 30
"c:\Users\irina\Desktop\EventMate\events\templates\events\delete_event.html", "HTML", 0, 21, 0, 0, 13, 34
"c:\Users\irina\Desktop\EventMate\events\templates\events\edit_event.html", "HTML", 0, 19, 0, 0, 12, 31
"c:\Users\irina\Desktop\EventMate\events\templates\events\event_details.html", "HTML", 0, 162, 0, 0, 77, 239
"c:\Users\irina\Desktop\EventMate\events\templates\events\events_list.html", "HTML", 0, 46, 0, 0, 20, 66
"c:\Users\irina\Desktop\EventMate\events\templates\events\my_events.html", "HTML", 0, 27, 0, 0, 14, 41
"c:\Users\irina\Desktop\EventMate\events\tests.py", "Python", 59, 0, 0, 0, 21, 80
"c:\Users\irina\Desktop\EventMate\events\urls.py", "Python", 10, 0, 0, 0, 1, 11
"c:\Users\irina\Desktop\EventMate\events\views.py", "Python", 153, 0, 0, 0, 52, 205
"c:\Users\irina\Desktop\EventMate\friends\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\friends\admin.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\irina\Desktop\EventMate\friends\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\irina\Desktop\EventMate\friends\migrations\0001_initial.py", "Python", 56, 0, 0, 1, 7, 64
"c:\Users\irina\Desktop\EventMate\friends\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\friends\models.py", "Python", 28, 0, 0, 0, 8, 36
"c:\Users\irina\Desktop\EventMate\friends\templates\friends\friends.html", "HTML", 0, 43, 0, 0, 21, 64
"c:\Users\irina\Desktop\EventMate\friends\tests.py", "Python", 58, 0, 0, 0, 21, 79
"c:\Users\irina\Desktop\EventMate\friends\urls.py", "Python", 8, 0, 0, 0, 1, 9
"c:\Users\irina\Desktop\EventMate\friends\views.py", "Python", 58, 0, 0, 0, 16, 74
"c:\Users\irina\Desktop\EventMate\manage.py", "Python", 15, 0, 0, 3, 5, 23
"c:\Users\irina\Desktop\EventMate\notifications\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\notifications\admin.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\irina\Desktop\EventMate\notifications\apps.py", "Python", 3, 0, 0, 0, 3, 6
"c:\Users\irina\Desktop\EventMate\notifications\migrations\0001_initial.py", "Python", 35, 0, 0, 1, 7, 43
"c:\Users\irina\Desktop\EventMate\notifications\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\irina\Desktop\EventMate\notifications\models.py", "Python", 13, 0, 0, 0, 6, 19
"c:\Users\irina\Desktop\EventMate\notifications\templates\notifications\notifications.html", "HTML", 0, 23, 0, 0, 16, 39
"c:\Users\irina\Desktop\EventMate\notifications\tests.py", "Python", 15, 0, 0, 0, 7, 22
"c:\Users\irina\Desktop\EventMate\notifications\urls.py", "Python", 5, 0, 0, 0, 1, 6
